STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,airpol,Air pollutants and greenhouse gases,indic_env,Environment indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BE,Belgium,2021,,9553.73738,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BE,Belgium,2022,,9053.04551,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BE,Belgium,2023,,8580.59318,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BG,Bulgaria,2014,,8282.82451,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BG,Bulgaria,2015,,8868.1135,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BG,Bulgaria,2016,,8676.01592,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BG,Bulgaria,2017,,9026.17275,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BG,Bulgaria,2018,,8492.89537,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BG,Bulgaria,2019,,8417.34399,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BG,Bulgaria,2020,,7550.7939,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BG,Bulgaria,2021,,8584.69402,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BG,Bulgaria,2022,,9287.14348,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,BG,Bulgaria,2023,,7175.66854,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CH,Switzerland,2014,,6635.50758,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CH,Switzerland,2015,,6600.5199,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CH,Switzerland,2016,,6581.97731,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CH,Switzerland,2017,,6395.62169,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CH,Switzerland,2018,,6189.42657,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CH,Switzerland,2019,,6147.53237,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CH,Switzerland,2020,,5214.1389,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CH,Switzerland,2021,,5483.39369,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CH,Switzerland,2022,,5336.65698,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CY,Cyprus,2014,,9848.5691,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CY,Cyprus,2015,,9771.94168,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CY,Cyprus,2016,,10274.67792,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CY,Cyprus,2017,,10497.0278,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CY,Cyprus,2018,,10386.94179,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CY,Cyprus,2019,,10071.12464,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CY,Cyprus,2020,,9606.08421,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CY,Cyprus,2021,,9687.14803,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CY,Cyprus,2022,,9644.61657,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CY,Cyprus,2023,,9646.64787,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CZ,Czechia,2014,,11309.01559,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CZ,Czechia,2015,,11326.394,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CZ,Czechia,2016,,11530.60412,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CZ,Czechia,2017,,11364.5987,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CZ,Czechia,2018,,11355.4321,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CZ,Czechia,2019,,10732.02375,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CZ,Czechia,2020,,9709.1424,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CZ,Czechia,2021,,10471.30752,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CZ,Czechia,2022,,10272.65646,,,,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,CZ,Czechia,2023,,9260.81277,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:ENV_AC_AIBRID_R2(1.0),Air emissions accounts totals bridging to emission inventory totals,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",AEMIS_RES,Air emissions by resident units (production activities and households),KG_HAB,Kilograms per capita,DE,Germany,2014,,11670.45817,,,,,
